Name,Position,Major,Height,Weight,Year,Hometown,Season,Receiving Touchdowns,Rush Longest,Receiving Yards game pct,Rush Touchdowns,Rush Attempts,Rush Rush attempt yards pct,Rush Yards per game avg,Defense Solo,Games Played,Defense Assist,Defense Total,Defense Tfl yards,Defense Forced fumble,Defense Pass defl,Rush Yards,Receiving Recep,Receiving Per game,Receiving Yards comp pct,Receiving Longest,Receiving Yards,Defense Blocked,Defense Interceptions,Games Started,Defense Fumb rec,Defense Sacks yards
Will  Haigler,WR,,"6'1""",210 lbs,Jr.,"Tallahassee, Fla.",2021,0,1,12.2,0,1,1.0,0.1,0,13,0,0,0-0,0,0,1,11,0.8,14.4,32,158,0,0,9,0,0-0
Donte Justice,DB,,"5'11""",180 lbs,So.,"Gordon, Ga.",2021,,,,,,,,6,9,3,9,0-0,0,0,,,,,,,0,0,1,0,0-0
Adeolu Adeleke,RB,,"5'10""",185 lbs,Sr.,"Conyers, Ga.",2021,2,61,18.6,2,53,7.1,31.4,2,12,0,2,0-0,0,0,377,14,1.2,15.9,42,223,0,0,7,0,0-0
Java'n Singletary,DB,,"6'0""",195 lbs,Jr.,"Bonaire, Ga.",2021,,,,,,,,16,9,18,34,0.5-2,1,3,,,,,,,0,1,8,0,0-0
Iaan Cousin,RB,,"6'0""",165 lbs,So.,"Carrollton, Ga.",2021,2,54,25.9,4,47,10.2,36.8,1,13,0,1,0-0,0,0,479,14,1.1,24.1,55,337,0,0,4,0,0-0
Kyle Glover,RB,,"5'11""",215 lbs,Gr.,"Eastman, Ga.",2021,1,48,5.4,1,134,4.9,50.4,0,13,2,2,0-0,0,0,655,4,0.3,17.5,25,70,0,0,12,0,0-0
Xavier Shepherd,QB,,"6'0""",205 lbs,So.,"Nashville, Tenn.",2021,,56,,23,240,3.6,66.7,1,13,0,1,0-0,0,0,867,,,,,,0,0,12,0,0-0
Sharmari Reed,DB,,"6'0""",190 lbs,So.,"Fayetteville, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Murphy,QB,,"6'0""",195 lbs,Jr.,"Los Angeles, Calif.",2021,,36,,4,64,5.6,51.3,1,7,0,1,0-0,0,0,359,,,,,,0,0,0,0,0-0
Welton Spottsville,DB,,"6'0""",220 lbs,Jr.,"Havelock, N.C.",2021,,,,,,,,17,10,12,29,1-5,0,3,,,,,,,0,1,3,0,1-5
DeAngelo Hardy,QB,,"5'10""",175 lbs,So.,"Chattanooga, Tenn.",2021,,8,,0,12,2.2,3.3,,8,,,,,,26,,,,,,,,0,,
Je'Cory  Burks,DB,,"6'0""",195 lbs,Jr.,"Perry, Ga.",2021,,,,,,,,17,13,12,29,0-0,0,5,,,,,,,0,0,12,0,0-0
Isaac Foster,RB,,"5'10""",170 lbs,Sr.,"Summerville, Ga.",2021,0,14,4.0,0,8,6.4,17.0,0,3,0,0,0-0,0,0,51,1,0.3,12.0,12,12,0,0,3,0,0-0
Xavier Hill,WR,,"6'2""",200 lbs,So.,"Pleasant Grove, Ala.",2021,4,,16.9,,,,,0,9,0,0,0-0,0,0,,9,1.0,16.9,56,152,0,0,2,0,0-0
Ryan Harris,DB,,"5'10""",180 lbs,So.,"Irmo, S.C.",2021,,,,,,,,4,13,2,6,0-0,0,0,,,,,,,0,0,1,0,0-0
Nykeem Farrow,RB,,"5'9""",170 lbs,So.,"Cochran, Ga.",2021,1,44,7.7,2,41,7.9,24.8,,13,,,,,,323,6,0.5,16.7,52,100,,,5,,
Chavis Marshall,WR,,"6'3""",190 lbs,Jr.,"Sylvester, Ga.",2021,0,,1.8,,,,,0,12,0,0,0-0,0,0,,1,0.1,22.0,22,22,0,0,0,0,0-0
Arendez Fedd,QB,,"6'1""",215 lbs,Fr.,"Locust Grove, Ga.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Oscar Gonzalez,WR,,"6'4""",235 lbs,Jr.,"Dalton, Ga.",2021,0,,0.0,,,,,,9,,,,,,,0,0.0,0.0,0,0,,,1,,
Ladarius Clardy,QB,,"6'0""",170 lbs,So.,"Pensacola, Fla.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Erwin Byrd,DB,,"5'10""",180 lbs,So.,"Powder Springs, Ga.",2021,,,,,,,,19,12,10,29,1-7,0,6,,,,,,,0,2,9,0,1-7
Elijah Kirby,DB,,"6'1""",205 lbs,So.,"Sandy Springs, Ga.",2021,,,,,,,,2,8,0,2,0-0,0,0,,,,,,,0,0,0,0,0-0
Markeith  Montgomery,DB,,"5'10""",195 lbs,Jr.,"Flintstone, Ga.",2021,,,,,,,,19,12,14,33,1-1,0,4,,,,,,,0,2,5,1,0-0
Kemari McGowan,RB,,"5'10""",175 lbs,So.,"Murfreesboro, Tenn.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Deontre Morris,DB,,"5'11""",175 lbs,Fr.,"Atlanta, Ga.",2021,,,,,,,,1,2,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Jeremiah Compton,DB,,"6'1""",190 lbs,Jr.,"Waverly, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Benyard,RB,,"5'10""",180 lbs,Fr.,"Ocilla, Ga.",2021,2,49,5.6,1,14,6.4,6.9,2,13,0,2,0-0,0,0,90,5,0.4,14.6,30,73,0,0,2,0,0-0
Cade Loden,DB,,"6'0""",175 lbs,So.,"St. Mary's, Ga.",2021,,,,,,,,3,11,1,4,0-0,0,0,,,,,,,0,0,0,0,0-0
Jack Plummer,RB,,"5'7""",185 lbs,Sr.,"Buford, Ga.",2021,,,,,,,,,2,,,,,,,,,,,,,,0,,
Tykeem Wallace,RB,,"5'9""",170 lbs,Fr.,"Thomasville, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Preston Daniels,RB,,"5'11""",250 lbs,So.,"Sandersville, Ga.",2021,0,26,0.0,0,72,4.2,25.1,0,12,0,0,0-0,0,0,301,0,0.0,0.0,0,0,0,0,0,0,0-0
Chance Gamble,DB,,"6'2""",165 lbs,Fr.,"Fitzgerald, Ga.",2021,,,,,,,,6,5,1,7,1-8,1,3,,,,,,,0,1,0,0,0-0
Montrel Jenkins,LB,,"6'0""",200 lbs,Fr.,"Acworth, Ga.",2021,,,,,,,,1,8,3,4,0-0,0,0,,,,,,,0,0,0,0,0-0
Cole Loden,DB,,"5'11""",185 lbs,Sr.,"St. Mary's, Ga.",2021,,,,,,,,28,13,16,44,0-0,0,5,,,,,,,0,1,9,0,0-0
Caleb Brown,DB,,"6'2""",150 lbs,So.,"Douglasville, Ga.",2021,,,,,,,,,6,,,,,,,,,,,,,,0,,
Marquis Ledet,RB,,"6'0""",190 lbs,So.,"Marietta, Ga.",2021,0,11,0.0,0,1,11.0,1.4,0,8,1,1,0-0,0,0,11,0,0.0,0.0,0,0,0,0,0,0,0-0
Cade Radam,RB,,"6'0""",205 lbs,So.,"Canton, Ga.",2021,,0,,0,0,0.0,0.0,0,2,0,0,0-0,0,0,0,,,,,,0,0,0,0,0-0
Quandarius Smith,RB,,"5'11""",205 lbs,Fr.,"Gainesville, Fla.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Zaire Scotland,RB,,"6'1""",220 lbs,Fr.,"Seneca, S.C.",2021,,,,,,,,,3,,,,,,,,,,,,,,0,,
Irving Smith,RB,,"5'8""",200 lbs,Sr.,"Dallas, Ga.",2021,0,40,9.8,0,9,6.4,6.4,1,9,0,1,0-0,0,0,58,4,0.4,22.0,34,88,0,0,4,0,0-0
Dylan Hand,DB,,"6'0""",195 lbs,Fr.,"Dacula, Ga.",2021,,,,,,,,4,10,3,7,0-0,0,2,,,,,,,0,1,0,0,0-0
William Jenkins,LB,,"6'0""",200 lbs,So.,"Decatur, Ga.",2021,,,,,,,,1,3,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Gavin Marts,RB,,"6'0""",230 lbs,So.,"Jacksonville, Fla.",2021,,8,,0,20,4.0,9.9,1,8,2,3,0-0,0,0,79,,,,,,0,0,0,0,0-0
Garland Benyard,LB,,"6'1""",190 lbs,Fr.,"Ocilla, Ga.",2021,,,,,,,,15,13,20,35,2-10,0,2,,,,,,,1,0,6,1,0-0
Jerrod Woods,LB,,"6'1""",205 lbs,Fr.,"Leesburg, Ga.",2021,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Charles Remy,LB,,"6'1""",210 lbs,Fr.,"Kennesaw, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Barnum,LB,,"6'1""",210 lbs,So.,"Jesup, Ga.",2021,,,,,,,,8,7,1,9,0-0,0,2,,,,,,,0,0,0,0,0-0
Xavier Reddick,LB,,"6'1""",230 lbs,Gr.,"Powder Springs, Ga.",2021,,,,,,,,19,12,17,36,2-7,0,1,,,,,,,0,1,3,1,1-6
Zane McCracken,LS,,"6'2""",200 lbs,So.,"Calhoun, Ga.",2021,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Yesiah Clemons,RB,,"5'10""",200 lbs,So.,"Griffin, Ga.",2021,0,0,0.0,0,1,-2.0,-0.2,2,11,3,5,0-0,0,0,-2,0,0.0,0.0,0,0,0,0,0,0,0-0
Evan Thompson,LB,,"6'0""",210 lbs,Jr.,"Clermont, Fla.",2021,,,,,,,,62,13,56,118,12-17,0,4,,,,,,,0,0,10,1,2-4
Terrell Paxton,OL,,"6'0""",310 lbs,Jr.,"Stone Mountain, Ga.",2021,,,,,,,,0,11,0,0,0-0,0,0,,,,,,,0,0,9,0,0-0
Kelcy  Allen,DL,,"6'1""",240 lbs,Jr.,"Smith Station, Ala.",2021,,,,,,,,4,9,4,8,1-1,0,0,,,,,,,0,0,4,1,0-0
Demetric Barnes,DL,,"6'4""",295 lbs,So.,"Stone Mountain, Ga.",2021,,,,,,,,7,11,4,11,1-2,0,0,,,,,,,0,0,0,0,1-2
Tyler Scott,DL,,"6'1""",300 lbs,So.,"Jackson, Ga.",2021,,,,,,,,4,12,7,11,1-2,0,0,,,,,,,1,0,1,0,0-0
Jake Lassiter,OL,,"6'1""",240 lbs,Gr.,"Coral Springs, Fla.",2021,,,,,,,,,11,,,,,,,,,,,,,,10,,
Cameron Donald,DL,,"6'1""",250 lbs,So.,"Pelzer, S.C.",2021,,,,,,,,0,2,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Jordan Love,OL,,"6'2""",290 lbs,Fr.,"Rockledge, Fla.",2021,,,,,,,,,5,,,,,,,,,,,,,,0,,
Jahon Myers,DL,,"6'3""",250 lbs,So.,"Luella, Ga.",2021,,,,,,,,6,13,6,12,2.5-23,0,1,,,,,,,0,0,1,0,1-11
Jadyn Walker,LB,,"6'0""",210 lbs,Fr.,"Acworth, Ga.",2021,,,,,,,,,9,,,,,,,,,,,,,,0,,
Tyler Moore,DL,,"6'1""",250 lbs,Sr.,"Phenix City, Ala.",2021,,,,,,,,11,13,12,23,1-2,3,0,,,,,,,0,0,5,1,1-0
Steven Carter,LB,,"6'1""",220 lbs,Fr.,"Newnan, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Floyd,OL,,"6'1""",270 lbs,So.,"Rome, Ga.",2021,,,,,,,,,3,,,,,,,,,,,,,,0,,
Darron Willis,OL,,"6'2""",240 lbs,So.,"Alpharetta, Ga.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Tristan Love,OL,,"6'2""",300 lbs,Jr.,"Rockledge, Fla.",2021,,,,,,,,,11,,,,,,,,,,,,,,0,,
Zion Katina,OL,,"6'2""",285 lbs,Jr.,"Franklin, Tenn.",2021,,,,,,,,1,10,0,1,0-0,0,0,,,,,,,0,0,10,0,0-0
Jacob Potter,LS,,"6'0""",235 lbs,Sr.,"Adairsville, Ga.",2021,,,,,,,,,13,,,,,,,,,,,,,,0,,
Chance Bates,LB,,"6'0""",240 lbs,Sr.,"Muscle Shoals, Ala.",2021,,,,,,,,28,13,20,48,0.5-1,0,2,,,,,,,0,1,11,0,0-0
Colton Steele,OL,,"6'3""",295 lbs,Fr.,"Jefferson, Ga.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Matt Olson,OL,,"6'3""",295 lbs,Sr.,"Cumming, Ga.",2021,,,,,,,,,11,,,,,,,,,,,,,,10,,
Trenton Jackson,OL,,"6'0""",310 lbs,So.,"Hattiesburg, Miss.",2021,,,,,,,,,8,,,,,,,,,,,,,,3,,
Ben Moran,P,,"6'1""",165 lbs,Fr.,"Acworth, Ga.",2021,,0,,0,0,0.0,-0.7,,13,,,,,,-9,,,,,,,,0,,
James Dawson,OL,,"6'1""",295 lbs,So.,"Opelika, Ala.",2021,,,,,,,,,9,,,,,,,,,,,,,,4,,
Ryan Worley,OL,,"6'2""",260 lbs,Fr.,"Pensacola, Fla.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Scott,DL,,"6'0""",285 lbs,Sr.,"Pinson, Ala.",2021,,,,,,,,8,12,14,22,2.5-9,0,0,,,,,,,1,0,12,1,1.5-7
Hall O'Neal,OL,,"6'2""",255 lbs,So.,"Atlanta, Ga.",2021,,,,,,,,,7,,,,,,,,,,,,,,0,,
Sean Brown,OL,,"6'2""",265 lbs,Sr.,"Macon, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
William Nana Fabu,OL,,"6'1""",275 lbs,Sr.,"Columbus, Ga.",2021,,,,,,,,,9,,,,,,,,,,,,,,8,,
Conor Cummins,K,,"6'1""",175 lbs,Fr.,"Marietta, Ga.",2021,,,,,,,,2,3,0,2,0-0,0,0,,,,,,,0,0,0,0,0-0
William Calhoun,OL,,"6'2""",295 lbs,Fr.,"Suwanee, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Thompson,OL,,"6'4""",240 lbs,Fr.,"Zephyrhills, Fla.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
Ben  Hollars,OL,,"6'1""",270 lbs,Fr.,"Dallas, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Traveon Latimore,WR,,"6'1""",200 lbs,So.,"Colbert, Ga.",2021,,,,,,,,,7,,,,,,,,,,,,,,0,,
Connor Finer,TE,,"6'2""",220 lbs,Fr.,"New Port Richey, Fla.",2021,0,,0.0,,,,,0,1,0,0,0-0,0,0,,0,0.0,0.0,0,0,0,0,0,0,0-0
Blake Bohannon,WR,,"6'1""",165 lbs,Fr.,"Woodstock, Ga.",2021,0,,0.0,,,,,1,4,0,1,0-0,0,0,,0,0.0,0.0,0,0,0,0,0,0,0-0
Landon Kardian,WR,,"6'4""",210 lbs,Fr.,"Atlanta, Ga.",2021,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb O'Neal,WR,,"6'2""",200 lbs,Gr.,"Chickamauga, Ga.",2021,5,,24.8,,,,,1,13,0,1,0-0,0,0,,19,1.5,17.0,51,323,0,0,12,0,0-0
Nathan Robertson,K,,"5'10""",160 lbs,Sr.,"Columbus, Ga.",2021,,,,,,,,1,11,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Evan Fuller,K,,"6'0""",215 lbs,So.,"Bremen, Ga.",2021,,,,,,,,,1,,,,,,,,,,,,,,0,,
