season,name,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks
2021,"adeleke, adeolu",,70,185,"conyers, ga.",rb,12,7,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"murphy, jonathan",,72,195,"los angeles, calif.",qb,7,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"shepherd, xavier",,72,205,"nashville, tenn.",qb,13,12,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"haigler, will",,73,210,"tallahassee, fla.",wr,13,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"cousin, iaan",,72,165,"carrollton, ga.",rb,13,4,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"glover, kyle",,71,215,"eastman, ga.",rb,13,12,0,2,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"justice, donte",,71,180,"gordon, ga.",db,9,1,6,3,9,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"burks, je'cory",,72,195,"perry, ga.",db,13,12,17,12,29,0.0,0.0,0,5,0,0,0,0.0,0.0
2021,"foster, isaac",,70,170,"summerville, ga.",rb,3,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"spottsville, welton",,72,220,"havelock, n.c.",db,10,3,17,12,29,5.0,5.0,1,3,0,0,0,1.0,1.0
2021,"singletary, java'n",,72,195,"bonaire, ga.",db,9,8,16,18,34,2.0,0.0,1,3,1,0,0,0.5,0.0
2021,"marshall, chavis",,75,190,"sylvester, ga.",wr,12,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"harris, ryan",,70,180,"irmo, s.c.",db,13,1,4,2,6,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"montgomery, markeith",,70,195,"flintstone, ga.",db,12,5,19,14,33,1.0,0.0,2,4,0,1,0,1.0,0.0
2021,"hill, xavier",,74,200,"pleasant grove, ala.",wr,9,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"loden, cade",,72,175,"st. mary's, ga.",db,11,0,3,1,4,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"byrd, erwin",,70,180,"powder springs, ga.",db,12,9,19,10,29,7.0,7.0,2,6,0,0,0,1.0,1.0
2021,"loden, cole",,71,185,"st. mary's, ga.",db,13,9,28,16,44,0.0,0.0,1,5,0,0,0,0.0,0.0
2021,"daniels, preston",,71,250,"sandersville, ga.",rb,12,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"morris, deontre",,71,175,"atlanta, ga.",db,2,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"kirby, elijah",,73,205,"sandy springs, ga.",db,8,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2021,"radam, cade",,72,205,"canton, ga.",rb,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
