Name,Position,Major,Height,Weight,Year,Hometown,Season,Receiving Touchdowns,Rush Longest,Receiving Yards game pct,Rush Touchdowns,Rush Attempts,Rush Rush attempt yards pct,Rush Yards per game avg,Defense Solo,Games Played,Defense Assist,Defense Total,Defense Tfl yards,Defense Forced fumble,Defense Pass defl,Rush Yards,Receiving Recep,Receiving Per game,Receiving Yards comp pct,Receiving Longest,Receiving Yards,Defense Blocked,Defense Interceptions,Games Started,Defense Fumb rec,Defense Sacks yards
Sharmari Reed,DB,,"6'0""",205 lbs,Jr.,"Fayetteville, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Iaan Cousin,RB,,"6'0""",160 lbs,Jr.,"Carrollton, Ga.",2022,0,20,29.2,0,8,1.5,2.4,0,5,0,0,0-0,0,0,12,11,2.2,13.3,28,146,0,0,1,0,0-0
Jonathan Murphy,QB,,"6'0""",190 lbs,Sr.,"Los Angeles, Calif.",2022,,57,,9,107,3.6,64.3,0,6,0,0,0-0,0,0,386,,,,,,0,0,3,0,0-0
Oscar Gonzalez,WR,,"6'4""",230 lbs,Sr.,"Dalton, Ga.",2022,0,,5.3,,,,,,9,,,,,,,3,0.3,16.0,37,48,,,0,,
Je'Cory  Burks,DB,,"6'0""",195 lbs,Sr.,"Perry, Ga.",2022,,,,,,,,23,11,13,36,1-3,0,8,,,,,,,0,0,10,0,0-0
Nykeem Farrow,RB,,"5'9""",170 lbs,Jr.,"Cochran, Ga.",2022,0,8,14.4,0,7,3.1,4.4,,5,,,,,,22,2,0.4,36.0,72,72,,,0,,
Preston Daniels,RB,,"5'11""",255 lbs,Jr.,"Sandersville, Ga.",2022,1,46,2.1,4,84,5.0,47.0,0,9,0,0,0-0,0,0,423,1,0.1,19.0,19,19,0,0,8,0,0-0
Xavier Shepherd,QB,,"6'0""",205 lbs,Jr.,"Nashville, Tenn.",2022,,41,,11,205,2.9,65.4,1,9,0,1,0-0,0,0,589,,,,,,0,0,7,0,0-0
Davis Bryson,QB,,"5'9""",175 lbs,Fr.,"Woodbridge, Va.",2022,,0,,0,0,0.0,0.0,,1,,,,,,0,,,,,,,,0,,
DeAngelo Hardy,QB,,"5'10""",185 lbs,Jr.,"Chattanooga, Tenn.",2022,,6,,0,11,2.4,8.7,,3,,,,,,26,,,,,,,,0,,
Gene Sledge,RB,,"6'2""",235 lbs,So.,"Huntsville, Ala.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Harris,DB,,"5'10""",170 lbs,Jr.,"Irmo, S.C.",2022,,,,,,,,1,3,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Jayven Williams,DB,,"6'2""",170 lbs,Fr.,"Mobile, Ala.",2022,,,,,,,,1,10,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Nick Sawyer,QB,,"5'11""",160 lbs,Fr.,"Harvest, Ala.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Barnum,LB,,"6'1""",195 lbs,Jr.,"Jesup, Ga.",2022,,,,,,,,23,11,25,48,1.5-2,0,1,,,,,,,0,0,9,0,0-0
Chavis Marshall,WR,,"6'3""",195 lbs,Jr.,"Sylvester, Ga.",2022,0,,16.3,,,,,0,11,0,0,0-0,0,0,,11,1.0,16.3,38,179,0,0,10,0,0-0
Braden Bohannon,QB,,"6'1""",180 lbs,Fr.,"Woodstock, Ga.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Foster,RB,,"5'10""",175 lbs,Gr.,"Summerville, Ga.",2022,2,43,28.5,4,72,5.8,38.2,1,11,1,2,0-0,0,0,420,27,2.5,11.6,40,314,0,0,9,0,0-0
Kemari McGowan,RB,,"5'10""",160 lbs,Jr.,"Murfreesboro, Tenn.",2022,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Benyard,RB,,"5'10""",175 lbs,So.,"Ocilla, Ga.",2022,2,28,26.0,0,30,6.7,22.4,0,9,0,0,0-0,0,0,202,13,1.4,18.0,37,234,0,0,2,0,0-0
Tykeem Wallace,RB,,"5'9""",160 lbs,So.,"Thomasville, Ga.",2022,0,17,0.0,0,6,5.2,3.1,1,10,1,2,0-0,0,0,31,0,0.0,0.0,0,0,0,0,0,0,0-0
Deontre Morris,DB,,"5'11""",185 lbs,So.,"Atlanta, Ga.",2022,,,,,,,,32,10,18,50,0-0,1,11,,,,,,,0,5,9,1,0-0
Cade Loden,WR,,"6'0""",180 lbs,Jr.,"St. Mary's, Ga.",2022,,,,,,,,1,10,1,2,0-0,0,0,,,,,,,0,0,0,0,0-0
Markeith  Montgomery,DB,,"5'10""",185 lbs,Sr.,"Flintstone, Ga.",2022,,,,,,,,37,11,23,60,6-16,2,12,,,,,,,0,5,10,0,0-0
Elijah Kirby,DB,,"6'1""",210 lbs,Jr.,"Sandy Springs, Ga.",2022,,,,,,,,0,7,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Qua Ashley,RB,,"5'10""",185 lbs,Fr.,"Dublin, Ga.",2022,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0-0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0-0
