Name,Position,Major,Height,Weight,Year,Hometown,Season,Receiving Touchdowns,Rush Longest,Receiving Yards game pct,Rush Touchdowns,Rush Attempts,Rush Rush attempt yards pct,Rush Yards per game avg,Defense Solo,Games Played,Defense Assist,Defense Total,Defense Tfl yards,Defense Forced fumble,Defense Pass defl,Rush Yards,Receiving Recep,Receiving Per game,Receiving Yards comp pct,Receiving Longest,Receiving Yards,Defense Blocked,Defense Interceptions,Games Started,Defense Fumb rec,Defense Sacks yards
Acha Mbanwei,,Environmental Science,"5'11""",220 lbs,Jr.,"Conyers, Ga.",2023,,,,,,,,,1,,,,,,,,,,,,,,0,,
Joshua Huiet,P,Finance,"6'2""",205 lbs,Jr.,"Johns Creek, Ga.",2023,,,,,,,,,8,,,,,,,,,,,,,,0,,
Kevin Smith,OL,Finance,"6'1""",275 lbs,Fr.,"Dacula, Ga.",2023,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Dopson,WR,Business,"6'2""",185 lbs,Fr.,"Snellville, Ga.",2023,,,,,,,,,,,,,,,,,,,,,,,,,
TJ McElmurray,WR,Nursing,"6'3""",180 lbs,Fr.,"Graniteville, S.C.",2023,,,,,,,,,3,,,,,,,,,,,,,,1,,
Ugonna Nwoha,DL,Cyber Security,"6'3""",255 lbs,So.,"Austell, Ga.",2023,,,,,,,,2,4,1,3,2-7,0,0,,,,,,,0,0,1,0,2-7
Joshua Agbenou,DL,Interdisciplinary Studies,"6'2""",245 lbs,Sr.,"Bethlehem, Ga.",2023,,,,,,,,9,8,13,22,2.5-8,0,1,,,,,,,0,0,3,1,1-5
Adam Watkins,DL,Integrated Health Science,"6'0""",285 lbs,Jr.,"Dacula, Ga.",2023,,,,,,,,12,7,8,20,3-9,0,1,,,,,,,0,0,3,0,2-7
Dennis Sims,WR,Business,"5'11""",175 lbs,Fr.,"Rockmart, Ga.",2023,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Taylor,DL,Sports Medicine,"6'3""",220 lbs,So.,"Gulf Shores, Ala.",2023,,,,,,,,0,2,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Jamar Rucks,DL,Interdisciplinary Studies,"6'3""",230 lbs,R-So.,"Buford, Ga.",2023,,,,,,,,1,3,5,6,0.5-1,0,0,,,,,,,0,0,2,0,0-0
Erik Calvillo,K,,"6'0""",180 lbs,Fr.,"Snellville, Ga.",2023,,,,,,,,,1,,,,,,,,,,,,,,0,,
Jordan Miles,DL,Interdisciplinary Studies,"6'2""",245 lbs,Jr.,"Indianapolis, Ind.",2023,,,,,,,,12,8,10,22,3-11,0,1,,,,,,,0,0,8,0,1-7
Thomarius Walker,DL,Interdisciplinary Studies,"6'1""",310 lbs,So.,"Pensacola, Fla.",2023,,,,,,,,5,4,12,17,1-6,0,0,,,,,,,0,0,4,0,1-6
Gatlin Hancock,TE,Criminal Justice,"6'3""",250 lbs,Fr.,"Rome, Ga.",2023,,,,,,,,,,,,,,,,,,,,,,,,,
