season,name,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks
2018,"walker, dorian",,72,181,"tallulah, la.",db,13,12,34,4,38,5.0,0.0,3,7,0,1,0,3.0,0.0
2018,"drake, quae",,74,193,"wadley, al.",db,2,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"burks, chandler",,70,190,"douglasville, ga.",qb,13,13,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"o'neal, caleb",,74,190,"chickamauga, ga.",wr,10,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"david, daniel",,73,212,"hoschton, ga.",qb,11,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"bryant, tommy",,73,190,"tuscaloosa, ala.",qb,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"reed, tj",,69,173,"daphne, ala.",rb,11,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"adeleke, adeolu",,70,189,"conyers, ga.",rb,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"sumpter, justin",,75,217,"tyrone, ga.",wr,10,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"harper, xavier",,72,194,"hoschton, ga.",wr,12,10,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"foster, isaac",,70,165,"summerville, ga.",rb,13,0,3,2,5,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"jackson, jalen",,74,197,"powder springs, ga.",wr,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"mason, cincere",,72,212,"atlanta, ga.",db,12,10,15,9,24,11.0,0.0,4,7,0,1,0,2.5,0.0
2018,"montgomery, markeith",,69,172,"flintstone, ga.",db,4,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"hancock, kj",,73,210,"suwanee, ga.",wr,12,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"chivers, trey",,71,200,"carrollton, ga.",rb,11,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"larry, le'vonte",,69,181,"jesup, ga.",db,13,11,34,9,43,15.0,0.0,0,5,1,0,0,4.5,0.0
2018,"compton, jeremiah",,73,191,"waverly, ga.",db,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"pettway, demetrius",,73,186,"phenix city, ala.",lb,13,1,14,9,23,1.0,0.0,2,4,0,0,0,0.5,0.0
2018,"cruz, nikko",,69,212,"leesburg, ga.",rb,2,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"white, jace",,73,181,"dallas, ga.",db,13,12,37,12,49,24.0,9.0,1,1,0,0,0,3.5,1.0
2018,"outlaw, sam",,73,221,"cumming, ga.",rb,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"grier, antavius",,69,158,"jackson, ga.",rb,4,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"loden, cole",,71,176,"st. mary's, ga.",db,13,2,13,8,21,0.0,0.0,0,2,0,0,1,0.0,0.0
2018,"abisoye, adesola",,70,186,"loganville, ga.",db,7,1,4,0,4,1.0,0.0,1,1,0,0,0,1.0,0.0
2018,"rechsteiner, bronson",,72,230,"acworth, ga.",rb,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"perry, bryson",,69,181,"canton, ga.",db,11,5,8,1,9,1.0,0.0,0,0,0,0,0,1.0,0.0
2018,"holland, darnell",,70,195,"bowdon, ga.",rb,13,13,4,1,5,0.0,0.0,0,0,0,0,0,0.0,0.0
2018,"mitchell, tyrik",,69,172,"jackson, ga.",db,7,0,2,1,3,0.0,0.0,1,1,0,0,0,0.0,0.0
