season,name,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks
2024,"benefield, michael",exercise science (ms),67,205,"atlanta, ga.",rb,4,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"benyard, gabriel",sport management,70,185,"ocilla, ga.",wr,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"daniels, preston",undeclared,71,250,"sandersville, ga.",te,4,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"benyard, garland",interdisciplinary studies/business fundamentals,73,225,"ocilla, ga.",lb,4,4,7,9,16,1.0,0.0,0,0,0,1,0,0.5,0.0
2024,"wallace, tykeem",criminal justice,69,165,"thomasville, ga.",wr,4,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"diggs, alexander",finance,69,185,"snellville, ga.",rb,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"bohannon, blake",management,73,190,"woodstock, ga.",wr,4,4,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"sawyer, nick",interdisciplinary studies,71,170,"harvest, ala.",db,4,0,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"porter, sidney",coaching/diversity & community engagement,72,215,"fort lauderdale, fla.",db,4,4,9,16,25,6.0,0.0,0,1,0,0,0,2.5,0.0
2024,"barnum, jalen",integrated interdisciplinary studies,73,205,"jesup, ga.",lb,4,3,3,6,9,2.0,0.0,0,0,0,0,0,1.0,0.0
2024,"williams, jayven",health and phyiscal activity leadership,74,175,"mobile, ala.",db,4,0,5,5,10,0.0,0.0,1,1,1,0,0,1.0,1.0
2024,"hallum, tyler",sport management,71,190,"marietta, ga.",db,4,4,14,2,16,0.0,0.0,0,1,1,0,0,0.0,0.0
2024,"jr., jerico washington",exercise science,70,175,"atlanta, ga.",db,4,4,12,6,18,0.0,0.0,0,1,1,1,0,0.0,0.0
2024,"paul, isaac",sport management,71,170,"panama city, fla.",db,4,3,8,14,22,1.0,0.0,0,0,0,1,0,0.5,0.0
2024,"redding, markell",management,72,190,"pensacola, fla.",db,2,0,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"clemons, yesiah",business administration (mba),70,210,"griffin, ga.",rb,4,0,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"billingsley, que",sport management,72,190,"phenix city, ala.",db,3,0,3,2,5,0.0,0.0,0,1,0,0,0,0.0,0.0
2024,"cole, david",professional sales,76,180,"ooltewah, tenn.",wr,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"brown, rob",health and physical activity leadership,72,200,"trion, ga.",rb,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"ashley, qua",integrated health science,70,195,"dublin, ga.",rb,4,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"jones, milon",finance,71,190,"marietta, ga.",db,4,1,6,14,20,1.0,0.0,0,1,1,0,0,0.5,0.0
2024,"kimble, jaiden",undeclared,72,195,"columbia, s.c.",lb,4,0,1,4,5,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"leiataua, eli",interdisciplinary studies,71,215,"hinesville, ga.",lb,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"scarver, amir",cybersecurity,72,210,"douglasville, ga.",lb,2,0,2,3,5,7.0,0.0,0,0,0,0,0,1.0,0.0
2024,"hopson, baron",civil engineering,73,215,"leesburg, ga.",lb,3,3,5,11,16,0.0,0.0,0,1,0,0,0,0.0,0.0
2024,"rucks, jamar",interdisciplinary studies,75,230,"buford, ga.",olb,4,0,0,4,4,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"franklin, deldrick",sport management,72,225,"atlanta, ga.",lb,4,0,0,2,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"johnson, donelius",exercise science,72,220,"patterson, ga.",lb,4,1,4,15,19,25.0,22.0,0,0,0,0,0,3.5,2.0
2024,"silas, juandarion",organizational and professional comm,73,215,"athens, ga.",olb,4,3,5,13,18,3.0,2.0,0,0,0,0,0,1.5,1.0
2024,"dunlap, tylon",sport management,73,260,"charlotte, n.c.",dl,4,4,2,2,4,3.0,3.0,0,0,0,0,0,1.0,1.0
2024,"myers, jahon",business administration (mba)/financial technology,75,260,"luella, ga.",dl,3,0,0,4,4,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"robinson, bryce",business administration,78,265,"winston, ga.",ls,4,0,2,1,3,0.0,0.0,0,0,1,1,0,0.0,0.0
2024,"finer, connor",management/interdisciplinary studies,74,215,"new port richey, fla.",te,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"dean, navelle",sport management,72,185,"columbus, ga.",wr,4,0,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"kent, carson",management,76,240,"milton, ga.",te,3,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"nwoha, ugonna",cyber security,75,260,"austell, ga.",dl,4,0,0,3,3,1.0,0.0,0,1,0,0,0,0.5,0.0
2024,"jarrett, jaylan",sport management,74,295,"pike road, ala.",dl,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"miles, jordan",interdisciplinary studies,74,245,"indianapolis, ind.",dl,4,4,3,13,16,12.0,10.0,0,0,0,0,0,3.5,1.0
2024,"scott, tyler",sport management,73,310,"jackson, ga.",dl,4,0,1,2,3,0.0,0.0,0,0,0,0,0,0.0,0.0
2024,"watkins, adam",integrated health science,72,300,"dacula, ga.",dl,4,0,1,6,7,1.0,0.0,0,0,0,0,0,1.0,0.0
2024,"taylor, rj",integrated health science,75,225,"gulf shores, ala.",olb,3,1,2,1,3,6.0,0.0,0,0,0,0,0,1.0,0.0
2024,"walker, thomarius",interdisciplinary studies,73,305,"pensacola, fla.",dl,4,4,3,11,14,2.0,0.0,0,0,0,0,0,2.0,0.0
