season,name,major,height,weight,hometown,position,games_played,games_started,receptions,receiving_yards,receiving_touchdowns,longest_reception,receptions_per_game,average_yards_per_reception,average_receiving_yards_per_game,total_touchdowns,total_points
2024,"benefield, michael",exercise science (ms),67,205,"atlanta, ga.",rb,4,3,2,6,0,9,0.5,3.0,1.5,0,0
2024,"benyard, gabriel",sport management,70,185,"ocilla, ga.",wr,2,2,4,39,0,22,2.0,9.8,19.5,0,0
2024,"daniels, preston",undeclared,71,250,"sandersville, ga.",te,4,4,0,0,0,0,0.0,0.0,0.0,2,12
2024,"wallace, tykeem",criminal justice,69,165,"thomasville, ga.",wr,4,3,7,98,0,24,1.8,14.0,24.5,0,0
2024,"diggs, alexander",finance,69,185,"snellville, ga.",rb,2,0,0,0,0,0,0.0,0.0,0.0,,
2024,"bohannon, blake",management,73,190,"woodstock, ga.",wr,4,4,10,89,0,32,2.5,8.9,22.3,0,0
2024,"moss, christian",interdisciplinary studies,75,190,"kennesaw, ga.",wr,3,0,6,54,0,16,2.0,9.0,18.0,,
2024,"thomas, destun",interdisciplinary studies,73,195,"cleveland, tenn.",wr,4,0,1,19,0,19,0.3,19.0,4.8,,
2024,"manning, jackson",business administration,77,240,"acworth, ga.",te,4,1,1,6,0,6,0.3,6.0,1.5,,
2024,"clemons, yesiah",business administration (mba),70,210,"griffin, ga.",rb,4,0,0,0,0,0,0.0,0.0,0.0,0,0
2024,"ashley, qua",integrated health science,70,195,"dublin, ga.",rb,4,1,10,131,0,51,2.5,13.1,32.8,,
2024,"williamson, josh",management,70,145,"snellville, ga.",wr,2,0,0,0,0,0,0.0,0.0,0.0,,
2024,"finer, connor",management/interdisciplinary studies,74,215,"new port richey, fla.",te,4,0,1,12,0,12,0.3,12.0,3.0,,
2024,"dean, navelle",sport management,72,185,"columbus, ga.",wr,4,0,4,55,0,37,1.0,13.8,13.8,,
2024,"kent, carson",management,76,240,"milton, ga.",te,3,2,4,45,1,25,1.3,11.3,15.0,1,6
2024,"darnell, rowan",psychology,76,215,"johns creek, ga.",te,4,0,0,0,0,0,0.0,0.0,0.0,0,0
2024,"robinson, jaden",sport management,74,195,"santa rosa beach, fla.",wr,1,0,2,18,0,11,2.0,9.0,18.0,,
