Name,Position,Major,Height,Weight,Year,Hometown,Season,Receiving Touchdowns,Rush Longest,Receiving Yards game pct,Rush Touchdowns,Rush Attempts,Rush Rush attempt yards pct,Rush Yards per game avg,Defense Solo,Games Played,Defense Assist,Defense Total,Defense Tfl yards,Defense Forced fumble,Defense Pass defl,Rush Yards,Receiving Recep,Receiving Per game,Receiving Yards comp pct,Receiving Longest,Receiving Yards,Defense Blocked,Defense Interceptions,Games Started,Defense Fumb rec,Defense Sacks yards
Michael Benefield,RB,Exercise Science (MS),"5'7""",205 lbs,R-Sr.,"Atlanta, Ga.",2024,0,10,2.0,0,24,2.9,23.3,0,3,0,0,0-0,0,0,70,2,0.7,3.0,9,6,0,0,3,0,0-0
Preston Daniels,TE,Undeclared,"5'11""",250 lbs,R-Sr.,"Sandersville, Ga.",2024,0,6,0.0,2,17,3.1,17.3,0,3,0,0,0-0,0,0,52,0,0.0,0.0,0,0,0,0,3,0,0-0
Davis Bryson,QB,Sport Management,"5'9""",190 lbs,R-So.,"Woodbridge, Va.",2024,,14,,0,36,1.7,20.7,,3,,,,,,62,,,,,,,,3,,
Tykeem Wallace,WR,Criminal Justice,"5'9""",165 lbs,R-Jr.,"Thomasville, Ga.",2024,0,3,25.0,0,1,3.0,1.0,0,3,0,0,0-0,0,0,3,5,1.7,15.0,24,75,0,0,2,0,0-0
Garland Benyard,LB,Interdisciplinary Studies/Business Fundamentals,"6'1""",225 lbs,R-Jr.,"Ocilla, Ga.",2024,,,,,,,,4,3,7,11,0.5-1,0,0,,,,,,,0,0,3,1,0-0
Blake Bohannon,WR,Management,"6'1""",190 lbs,R-Jr.,"Woodstock, Ga.",2024,0,,11.7,,,,,1,3,0,1,0-0,0,0,,6,2.0,5.8,10,35,0,0,3,0,0-0
Alexander Diggs,RB,Finance,"5'9""",185 lbs,R-So.,"Snellville, Ga.",2024,0,5,0.0,0,2,1.5,1.5,0,2,0,0,0-0,0,0,3,0,0.0,0.0,0,0,0,0,0,0,0-0
Gabriel Benyard,WR,Sport Management,"5'10""",185 lbs,R-Jr.,"Ocilla, Ga.",2024,0,5,19.5,0,1,5.0,2.5,0,2,0,0,0-0,0,0,5,4,2.0,9.8,22,39,0,0,2,0,0-0
Christian Moss,WR,Interdisciplinary Studies,"6'3""",190 lbs,R-Jr.,"Kennesaw, Ga.",2024,0,,17.5,,,,,,2,,,,,,,3,1.5,11.7,16,35,,,0,,
Khalib Johnson,QB,Interdisciplinary Studies,"6'2""",215 lbs,R-So.,"Birmingham, Ala.",2024,,8,,0,2,1.5,1.5,,2,,,,,,3,,,,,,,,0,,
Sidney Porter,DB,Coaching/Diversity & Community Engagement,"6'0""",215 lbs,R-Jr.,"Fort Lauderdale, Fla.",2024,,,,,,,,7,3,10,17,0-0,0,0,,,,,,,0,0,3,0,0-0
Braden Bohannon,QB,Sport Management,"6'1""",180 lbs,R-So.,"Woodstock, Ga.",2024,,,,,,,,,1,,,,,,,,,,,,,,0,,
Jalen Barnum,LB,Integrated Interdisciplinary studies,"6'1""",205 lbs,Sr.,"Jesup, Ga.",2024,,,,,,,,2,3,3,5,1-2,0,0,,,,,,,0,0,3,0,0-0
Jayven Williams,DB,Health and Phyiscal Activity Leadership,"6'2""",175 lbs,R-So.,"Mobile, Ala.",2024,,,,,,,,5,3,5,10,1-0,1,0,,,,,,,0,0,0,0,1-0
Destun Thomas,WR,Interdisciplinary Studies,"6'1""",195 lbs,R-So.,"Cleveland, Tenn.",2024,0,,6.3,,,,,,3,,,,,,,1,0.3,19.0,19,19,,,0,,
Nick Sawyer,DB,Interdisciplinary Studies,"5'11""",170 lbs,R-So.,"Harvest, Ala.",2024,,,,,,,,1,3,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Lucas Scheerhorn,QB,Exercise Science,"6'1""",190 lbs,Fr.,"Spring, Texas",2024,,,,,,,,,1,,,,,,,,,,,,,,0,,
Tyler Hallum,DB,Sport Management,"5'11""",190 lbs,R-Jr.,"Marietta, Ga.",2024,,,,,,,,10,3,1,11,0-0,1,1,,,,,,,0,0,3,0,0-0
Preston Clemmer,QB,Biology,"6'1""",190 lbs,Fr.,"Alpharetta, Ga.",2024,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Woods III,QB,Media and Entertainment,"5'10""",180 lbs,R-Fr.,"Hueytown, Ala.",2024,,,,,,,,,,,,,,,,,,,,,,,,,
JeRico Washington Jr.,DB,Exercise Science,"5'10""",175 lbs,R-Fr.,"Atlanta, Ga.",2024,,,,,,,,10,3,5,15,0-0,1,0,,,,,,,0,0,3,1,0-0
Markell Redding,DB,Management,"6'0""",190 lbs,R-Fr.,"Pensacola, Fla.",2024,,,,,,,,0,1,1,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Jasec Smith,DB,Undeclared,"6'0""",165 lbs,Fr.,"Toccoa, Ga.",2024,,,,,,,,,1,,,,,,,,,,,,,,0,,
Isaac Paul,DB,Sport Management,"5'11""",170 lbs,R-Fr.,"Panama City, Fla.",2024,,,,,,,,8,3,10,18,0.5-1,0,0,,,,,,,0,0,2,1,0-0
Que Billingsley,DB,Sport Management,"6'0""",190 lbs,R-Fr.,"Phenix City, Ala.",2024,,,,,,,,2,2,2,4,0-0,0,1,,,,,,,0,0,0,0,0-0
Yesiah Clemons,RB,Business Administration (MBA),"5'10""",210 lbs,R-Sr.,"Griffin, Ga.",2024,0,0,0.0,0,0,0.0,0.0,1,3,0,1,0-0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0-0
Kenai Grier,RB,Health and Physical Activity Leadership,"5'9""",190 lbs,R-Fr.,"Covington, Ga.",2024,,,,,,,,,,,,,,,,,,,,,,,,,
Javon Rogers,WR,Integrated Health Science,"6'0""",170 lbs,Fr.,"Montevallo, Ala.",2024,,,,,,,,,,,,,,,,,,,,,,,,,
Five Hamilton,DB,Entrepreneurship,"5'10""",175 lbs,R-Fr.,"Stockbridge, Ga.",2024,,,,,,,,,,,,,,,,,,,,,,,,,
David Cole,WR,Professional Sales,"6'4""",180 lbs,R-Fr.,"Ooltewah, Tenn.",2024,,,,,,,,1,1,0,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Milon Jones,DB,Finance,"5'11""",190 lbs,Jr.,"Marietta, Ga.",2024,,,,,,,,3,3,7,10,0-0,1,1,,,,,,,0,0,1,0,0-0
Qua Ashley,RB,Integrated Health Science,"5'10""",195 lbs,R-So.,"Dublin, Ga.",2024,0,10,39.7,0,27,1.7,15.0,0,3,0,0,0-0,0,0,45,7,2.3,17.0,51,119,0,0,0,0,0-0
